mbid,composition,is_metal,spg_num,crys_sys
mb-mp-is-metal-103675,Li1 Mn9 Se10,True,2,triclinic
mb-mp-is-metal-062604,K4 P4 H8 O16,False,7,monoclinic
mb-mp-is-metal-070315,Mg2 Cu4 Ge2 S8,False,31,orthorhombic
mb-mp-is-metal-041148,Ni14 P16 O56,True,20,orthorhombic
mb-mp-is-metal-081197,Tm1 As1,True,225,cubic
mb-mp-is-metal-104174,Cd2 Cu4 Ge2 S8,False,31,orthorhombic
mb-mp-is-metal-058187,Mg1 In3,True,139,tetragonal
mb-mp-is-metal-025853,Mn2 Sb4 O12,True,12,monoclinic
mb-mp-is-metal-090795,Ga2 Hg1 S4,False,82,tetragonal
mb-mp-is-metal-064782,Y1 Zn5,True,191,hexagonal
mb-mp-is-metal-093388,Na32 Hg12,True,167,trigonal
mb-mp-is-metal-047593,Zn3 Cd1 Se4,False,38,orthorhombic
mb-mp-is-metal-090762,Y1 Si2 Rh2,True,139,tetragonal
mb-mp-is-metal-099880,B6 O9,False,152,trigonal
mb-mp-is-metal-030403,Ag2 Bi2 S4,False,141,tetragonal
mb-mp-is-metal-060401,Na4 Zn2 Ge4 Se12,False,140,tetragonal
mb-mp-is-metal-082956,Dy1 Zn1 Rh2,True,225,cubic
mb-mp-is-metal-053030,Na6 W8 O24,True,8,monoclinic
mb-mp-is-metal-037916,Ce2 Fe17,True,166,trigonal
mb-mp-is-metal-027826,Nb4 O10,False,15,monoclinic
mb-mp-is-metal-006244,V12 Zn6 O24,False,8,monoclinic
mb-mp-is-metal-095960,Sc20 Bi12,True,62,orthorhombic
mb-mp-is-metal-002349,Te4 Mo1 W3 S4,True,156,trigonal
mb-mp-is-metal-090965,V3 Re1,True,225,cubic
mb-mp-is-metal-093488,Gd2 Zn17,True,166,trigonal
mb-mp-is-metal-005020,Sm2 Cu4 Sn5,True,107,tetragonal
mb-mp-is-metal-038051,Li8 Mn4 O8 F4,False,62,orthorhombic
mb-mp-is-metal-018737,Sn2 O2,False,31,orthorhombic
mb-mp-is-metal-089614,Ba2 Cu4 Sn2 Se8,False,40,orthorhombic
mb-mp-is-metal-105186,In1 P1,False,216,cubic
mb-mp-is-metal-067694,Pb1 I2,False,164,trigonal
mb-mp-is-metal-087810,Cd8 Te8 O24,False,14,monoclinic
mb-mp-is-metal-037935,Bi64 O96,False,1,triclinic
mb-mp-is-metal-069877,Hg8 O8,False,11,monoclinic
mb-mp-is-metal-014502,Fe12 O12 F12,False,6,monoclinic
mb-mp-is-metal-099431,Ge4 Rh4,True,62,orthorhombic
mb-mp-is-metal-102189,Ce3 Pd5,True,189,hexagonal
mb-mp-is-metal-090955,Eu1 Bi3,True,221,cubic
mb-mp-is-metal-068716,Li4 Mg4 N4,False,62,orthorhombic
mb-mp-is-metal-049133,Li8 V12 Fe4 O32,False,96,tetragonal
mb-mp-is-metal-013183,Li6 Cr2 O8,False,36,orthorhombic
mb-mp-is-metal-062195,Li1 Er2 Ga1,True,225,cubic
mb-mp-is-metal-104048,K1 Ti5 Se8,True,12,monoclinic
mb-mp-is-metal-101354,Y6 Ga2 Co6,True,63,orthorhombic
mb-mp-is-metal-103966,Hf1 Zn1 Ni2,True,225,cubic
mb-mp-is-metal-060955,Cd4 I8,False,160,trigonal
mb-mp-is-metal-088082,Co4 As12,True,204,cubic
mb-mp-is-metal-029413,Na2 Sb2 S4,False,141,tetragonal
mb-mp-is-metal-064183,Nd1 Er1 Tl2,True,225,cubic
mb-mp-is-metal-051066,Li6 Mn6 O12,True,2,triclinic
mb-mp-is-metal-009711,Cu1 Pd1,True,65,orthorhombic
mb-mp-is-metal-011822,Nd4 O3 F7,True,3,monoclinic
mb-mp-is-metal-102156,Hf1 V2 Ga4,True,139,tetragonal
mb-mp-is-metal-062125,Li5 Co2 Ni3 O10,False,2,triclinic
mb-mp-is-metal-057752,In1 N1,True,216,cubic
mb-mp-is-metal-096411,Bi20 I4 O28,False,73,orthorhombic
mb-mp-is-metal-012818,Li4 Cu4 P4 O16,False,33,orthorhombic
mb-mp-is-metal-047160,Li2 Mn2 P4 O14,False,1,triclinic
mb-mp-is-metal-082750,Dy1 As1,True,225,cubic
mb-mp-is-metal-028811,P4 H24 N4 O16,False,19,orthorhombic
mb-mp-is-metal-100409,Sc22 Al4 Ge16,True,139,tetragonal
mb-mp-is-metal-011336,Ca6 Bi12 O24,False,156,trigonal
mb-mp-is-metal-081806,Ca12 Ag32 N2,True,229,cubic
mb-mp-is-metal-090844,Hf4 Al6 C8,True,194,hexagonal
mb-mp-is-metal-089526,Tm3 Sn3 Rh3,True,189,hexagonal
mb-mp-is-metal-035502,Cd24 P16,True,206,cubic
mb-mp-is-metal-010724,Ba1 Bi1 Cl1 O2,False,107,tetragonal
mb-mp-is-metal-080205,Fe4 P4 S4,False,14,monoclinic
mb-mp-is-metal-088519,Al2 Cu6,True,59,orthorhombic
mb-mp-is-metal-009894,Ge1 As1,True,107,tetragonal
mb-mp-is-metal-008752,In1 Ag1 S2,True,156,trigonal
mb-mp-is-metal-016006,Li8 Mn4 O8 F4,False,9,monoclinic
mb-mp-is-metal-072348,Na8 Te4 S12,False,14,monoclinic
mb-mp-is-metal-023916,Fe8 O8 F8,False,5,monoclinic
mb-mp-is-metal-094437,K4 Sm2 P4 S14,False,5,monoclinic
mb-mp-is-metal-046787,Dy1 In1 Cu2,True,225,cubic
mb-mp-is-metal-063446,W8 O24,False,14,monoclinic
mb-mp-is-metal-064722,Cu3 As1 S4,True,215,cubic
mb-mp-is-metal-099419,Si24 Ru16,False,60,orthorhombic
mb-mp-is-metal-020351,Mg12 Ga6,True,155,trigonal
mb-mp-is-metal-082691,Ca1 Te1,False,225,cubic
mb-mp-is-metal-096578,Rb4 Cu1 Si2 O7,False,2,triclinic
mb-mp-is-metal-048185,Pm1 Dy3,True,139,tetragonal
mb-mp-is-metal-031230,Ti4 Zn2 S8,True,227,cubic
mb-mp-is-metal-082489,B2 H2 Pb4 O8,False,12,monoclinic
mb-mp-is-metal-040182,Nd2 Ir1 Pd1,True,225,cubic
mb-mp-is-metal-043212,Ho1 Al1 Au2,True,225,cubic
mb-mp-is-metal-093027,Ba42 Ir24 Pd9 O99,True,5,monoclinic
mb-mp-is-metal-032846,Yb2 Ce8 O19,True,115,tetragonal
mb-mp-is-metal-041262,Te4 Mo4 Se4,False,164,trigonal
mb-mp-is-metal-006067,Ti8 O16,False,186,hexagonal
mb-mp-is-metal-000468,Ti2 S4,False,194,hexagonal
mb-mp-is-metal-071172,Sc1 Ag1 O2,False,166,trigonal
mb-mp-is-metal-037521,Li4 Mn16 O32,True,198,cubic
mb-mp-is-metal-070956,Zn28 S28,False,156,trigonal
mb-mp-is-metal-081046,Tb1 Yb1 Hg2,True,225,cubic
mb-mp-is-metal-088563,Dy4 Cd2 Pd4,True,127,tetragonal
mb-mp-is-metal-013852,Li6 Cu6 P6 O24,False,159,trigonal
mb-mp-is-metal-063002,Mn30 Si52,False,122,tetragonal
mb-mp-is-metal-023085,Li2 V3 Fe1 O8,True,160,trigonal
mb-mp-is-metal-010402,Ca12 Sn8 S28,False,14,monoclinic
mb-mp-is-metal-044898,Zr4 Te4,True,62,orthorhombic
mb-mp-is-metal-098056,Sc3 Ga1 C1,True,221,cubic
mb-mp-is-metal-001091,Ca3 Zr17 O37,True,160,trigonal
mb-mp-is-metal-072528,Hf8 Hg32 As16 Cl48,False,61,orthorhombic
mb-mp-is-metal-103308,P8 Pd8 Se8,False,60,orthorhombic
mb-mp-is-metal-097206,Er1 Te1,True,225,cubic
mb-mp-is-metal-088213,Na2 Yb2 P4 S12,False,2,triclinic
mb-mp-is-metal-090810,Y1 Fe2 Si2,True,139,tetragonal
mb-mp-is-metal-048629,V3 As2 O9,False,8,monoclinic
mb-mp-is-metal-089459,Mg1 Sc1,True,221,cubic
mb-mp-is-metal-063386,As16 O24,False,14,monoclinic
mb-mp-is-metal-049094,Li8 Cr6 Ni2 O16,True,2,triclinic
mb-mp-is-metal-101000,Gd16 O24,False,206,cubic
mb-mp-is-metal-042918,Cu8 Mo8 O32,True,14,monoclinic
mb-mp-is-metal-029533,Zn18 S18,False,160,trigonal
mb-mp-is-metal-067091,Ca1 Ni5,True,191,hexagonal
mb-mp-is-metal-090526,Sn1 S2,False,164,trigonal
mb-mp-is-metal-084986,Li4 Ga4 O8,False,33,orthorhombic
mb-mp-is-metal-077416,Ba12 Ta8 Se36,False,14,monoclinic
mb-mp-is-metal-082176,Pr1 As1,True,225,cubic
mb-mp-is-metal-081993,Y1 Cd1 Hg2,True,225,cubic
mb-mp-is-metal-085611,Nd4 Pt4,True,62,orthorhombic
mb-mp-is-metal-059925,Te8 I32,False,141,tetragonal
mb-mp-is-metal-017846,Na4 Fe8 O12,False,12,monoclinic
mb-mp-is-metal-026046,Li4 Cu4 P4 O16,True,15,monoclinic
mb-mp-is-metal-101366,La4 In16 Au8,True,62,orthorhombic
mb-mp-is-metal-087528,Te8 Os4,True,205,cubic
mb-mp-is-metal-092001,Pt1 S2,False,164,trigonal
mb-mp-is-metal-016362,Mg4 Zn8,True,12,monoclinic
mb-mp-is-metal-088613,Mg2 Si14 Ir6,True,167,trigonal
mb-mp-is-metal-102256,K4 Ag8,True,194,hexagonal
mb-mp-is-metal-056041,La16 Mn14 O48,False,2,triclinic
mb-mp-is-metal-092739,Ce1 Si2 Ni2,True,139,tetragonal
mb-mp-is-metal-065141,Sr4 Ta4 N4 O8,False,5,monoclinic
mb-mp-is-metal-086032,Na4 Cu4 O4,False,139,tetragonal
mb-mp-is-metal-005256,Dy1 B1 Pd3,True,221,cubic
mb-mp-is-metal-019816,Sb8 Pb8 S22,True,55,orthorhombic
mb-mp-is-metal-032314,Mg8 Ga4,True,15,monoclinic
mb-mp-is-metal-100256,Ba6 Mn6 O18,False,185,hexagonal
mb-mp-is-metal-086132,Mn2 P2 Se6,True,148,trigonal
mb-mp-is-metal-030739,Ba2 La4 Co2 S10,True,140,tetragonal
mb-mp-is-metal-068899,Cd8 I16,False,156,trigonal
mb-mp-is-metal-038845,K1 Yb2 F7,True,3,monoclinic
mb-mp-is-metal-096136,Ca3 Sb1 N1,False,221,cubic
mb-mp-is-metal-062432,Ba12 V8 Se16 O64,False,14,monoclinic
mb-mp-is-metal-089987,Cd1 In2 Se4,False,82,tetragonal
mb-mp-is-metal-049074,Na5 Fe6 Si12 O36,True,5,monoclinic
mb-mp-is-metal-101775,Ca1 I2,False,164,trigonal
mb-mp-is-metal-013184,Li4 Mn4 Si4 O16,False,33,orthorhombic
mb-mp-is-metal-087690,Nd1 As1,True,225,cubic
mb-mp-is-metal-102403,Ho1 Si2 Os2,True,139,tetragonal
mb-mp-is-metal-070163,Rb1 V1 P2 S7,True,5,monoclinic
mb-mp-is-metal-028510,Zn18 S18,False,160,trigonal
mb-mp-is-metal-053905,Zn12 B8 O24,False,2,triclinic
mb-mp-is-metal-056882,Zn10 S10,False,160,trigonal
mb-mp-is-metal-035244,Co3 W1,True,221,cubic
mb-mp-is-metal-001901,In1 Ag1 Se2,True,123,tetragonal
mb-mp-is-metal-067219,Te6 Mo3,False,187,hexagonal
mb-mp-is-metal-102445,Li1 Mg1 Bi1,False,216,cubic
mb-mp-is-metal-068936,Cd12 I24,False,156,trigonal
mb-mp-is-metal-092107,Mg6 Tl2,True,194,hexagonal
mb-mp-is-metal-013043,Li2 Fe3 Sn1 O8,True,160,trigonal
mb-mp-is-metal-024126,Y16 O24,False,61,orthorhombic
mb-mp-is-metal-014777,Zr2 Ir4,True,227,cubic
mb-mp-is-metal-062880,Ba3 Nb2 Co1 O9,False,12,monoclinic
mb-mp-is-metal-017258,Zr2 H2 Cl2,True,164,trigonal
mb-mp-is-metal-026847,V16 O32,False,28,orthorhombic
mb-mp-is-metal-030126,Li9 Fe3 W7 O28,True,160,trigonal
mb-mp-is-metal-034244,Hf5 Pb1,True,123,tetragonal
mb-mp-is-metal-090718,Bi2 I2 O2,False,129,tetragonal
mb-mp-is-metal-092291,Lu6 B2 C6,True,63,orthorhombic
mb-mp-is-metal-071046,Nb4 Se8,True,187,hexagonal
mb-mp-is-metal-005898,In8 As8,True,205,cubic
mb-mp-is-metal-101494,Li8 I8 O24,False,86,tetragonal
mb-mp-is-metal-003100,Cu8 Se4,True,8,monoclinic
mb-mp-is-metal-104267,Cd2 Ge2 As4,False,122,tetragonal
mb-mp-is-metal-013137,Ag2 Ge2 O6,True,26,orthorhombic
mb-mp-is-metal-083660,Sr1 Se1,False,225,cubic
mb-mp-is-metal-068666,Ag2 I2,False,186,hexagonal
mb-mp-is-metal-043139,Li4 Mn4 P8 O28,False,7,monoclinic
mb-mp-is-metal-033388,Li4 Fe2 Ge2 S8,False,7,monoclinic
mb-mp-is-metal-026680,As32 S32,False,29,orthorhombic
mb-mp-is-metal-086999,La12 Ga12 S36,False,14,monoclinic
mb-mp-is-metal-056921,Mg10 Tl4,True,72,orthorhombic
mb-mp-is-metal-044165,Li6 Mn12 P12 O48,True,1,triclinic
mb-mp-is-metal-088240,K8 Ga12 Cu4 Se24,False,15,monoclinic
mb-mp-is-metal-087364,Ni4 Te6 O16,False,15,monoclinic
mb-mp-is-metal-020363,Zn2 O2,False,194,hexagonal
mb-mp-is-metal-081718,Te16 Au8,True,28,orthorhombic
mb-mp-is-metal-028869,V16 O32,False,1,triclinic
mb-mp-is-metal-006630,Li8 Cr4 Co12 O32,True,1,triclinic
mb-mp-is-metal-046701,Cu8 Sn4 Se12,False,43,orthorhombic
mb-mp-is-metal-100435,Y2 In4 Ni2,True,63,orthorhombic
mb-mp-is-metal-087998,Nd2 Fe2 Si4,True,63,orthorhombic
mb-mp-is-metal-103414,Cd2 Ag4 Ge2 S8,False,31,orthorhombic
mb-mp-is-metal-010105,Co2 O2 F2,True,65,orthorhombic
mb-mp-is-metal-092727,Nd1 Co2 Si2,True,139,tetragonal
mb-mp-is-metal-076466,Te4 Pb12 Cl16 O12,False,33,orthorhombic
mb-mp-is-metal-069981,Cd12 I24,False,156,trigonal
mb-mp-is-metal-017367,Cs1 Bi1 Se2,False,156,trigonal
mb-mp-is-metal-052216,Ag1 Pd1 O2,True,47,orthorhombic
mb-mp-is-metal-008793,Rb1 F1,False,221,cubic
mb-mp-is-metal-036868,Pb6 O8,False,55,orthorhombic
mb-mp-is-metal-094833,Zr14 P8,True,12,monoclinic
mb-mp-is-metal-105266,Te2 Pd2,True,194,hexagonal
mb-mp-is-metal-098109,Re2 Ir6,True,194,hexagonal
mb-mp-is-metal-047481,Bi32 O48,False,205,cubic
mb-mp-is-metal-036131,Cr8 O12,False,60,orthorhombic
mb-mp-is-metal-027881,Rb8 H24 Se16 O48,False,19,orthorhombic
mb-mp-is-metal-058221,Y6 Ag6 O18,False,185,hexagonal
mb-mp-is-metal-044106,Li4 Ti2 Mn6 O16,False,36,orthorhombic
mb-mp-is-metal-071069,W8 O24,False,14,monoclinic
mb-mp-is-metal-096950,La2 P1 I2,True,164,trigonal
mb-mp-is-metal-047235,Ti2 Co1 S4,True,12,monoclinic
mb-mp-is-metal-095232,Tm1 H2,True,225,cubic
mb-mp-is-metal-039966,Bi26 O39,False,146,trigonal
mb-mp-is-metal-074493,La32 In8 Sb8 S72,False,92,tetragonal
mb-mp-is-metal-069978,Cd8 I16,False,156,trigonal
mb-mp-is-metal-043883,Tl32 S32,False,92,tetragonal
mb-mp-is-metal-018968,Li4 Mn2 O4 F2,False,63,orthorhombic
mb-mp-is-metal-098221,Ca2 Pb2,True,123,tetragonal
mb-mp-is-metal-090704,Pb1 Se1,False,225,cubic
mb-mp-is-metal-051268,P8 Ru2,False,14,monoclinic
mb-mp-is-metal-094139,Zn24 N16,True,206,cubic
mb-mp-is-metal-011945,Li12 Fe2 O10 F2,True,1,triclinic
mb-mp-is-metal-071124,Nb1 Se2,True,160,trigonal
mb-mp-is-metal-019205,Ca6 Sn3 S12,False,189,hexagonal
mb-mp-is-metal-086170,Er2 Al2 Ge2,True,63,orthorhombic
mb-mp-is-metal-085829,Zr2 Se6,False,11,monoclinic
mb-mp-is-metal-004501,Cr24 N16,True,199,cubic
mb-mp-is-metal-044767,Ni23 B6,True,225,cubic
mb-mp-is-metal-057022,Ca2 Zn2 S2 O2,False,186,hexagonal
mb-mp-is-metal-015378,Dy2 Sn6,True,38,orthorhombic
mb-mp-is-metal-086669,Sr2 Cu1 Cl2 O2,True,139,tetragonal
mb-mp-is-metal-068872,Cd8 I16,False,164,trigonal
mb-mp-is-metal-004264,Cr24 N16,True,206,cubic
mb-mp-is-metal-004481,Mg8 Sn4,True,63,orthorhombic
mb-mp-is-metal-043899,Sr8 Fe3 N8,True,12,monoclinic
mb-mp-is-metal-091378,Cu2 Ir4 S8,True,227,cubic
mb-mp-is-metal-016942,Li2 Mn2 P4 O14,False,2,triclinic
mb-mp-is-metal-101964,Cr3 Ni3 As3,True,189,hexagonal
mb-mp-is-metal-001884,Mn1 Ni1,True,65,orthorhombic
mb-mp-is-metal-020963,Fe18 O18 F18,True,6,monoclinic
mb-mp-is-metal-037857,Mn2 O4,True,136,tetragonal
mb-mp-is-metal-025966,Fe8 O8 F8,False,6,monoclinic
mb-mp-is-metal-018280,Te6 Mo2 W2 S2,False,156,trigonal
mb-mp-is-metal-103982,Cs4 Ag8 As4 S12,False,14,monoclinic
mb-mp-is-metal-044742,Y2 Si4,True,141,tetragonal
mb-mp-is-metal-102124,Gd2 Zn2 In2,True,194,hexagonal
mb-mp-is-metal-100382,Ho10 Ge20 Rh8,True,127,tetragonal
mb-mp-is-metal-012738,Sn4 Sb2 S4 I6,False,63,orthorhombic
mb-mp-is-metal-041487,V6 As4 O18,False,100,tetragonal
mb-mp-is-metal-096228,Li2 Mn2 P4 O14,False,4,monoclinic
mb-mp-is-metal-067192,Na3 Tl1,True,221,cubic
mb-mp-is-metal-017840,V4 Bi8 O22,False,4,monoclinic
mb-mp-is-metal-090977,V2 Ir6,True,194,hexagonal
mb-mp-is-metal-003400,Zn2 Cu4 O8,False,2,triclinic
mb-mp-is-metal-091062,Ga1 Tc1,True,187,hexagonal
mb-mp-is-metal-026681,Tb2 O3,False,164,trigonal
mb-mp-is-metal-063915,U6 Ni6 Sn8,True,220,cubic
mb-mp-is-metal-044238,Ca1 Ge2,True,164,trigonal
mb-mp-is-metal-026031,Li4 Mn8 P8 O32,False,7,monoclinic
mb-mp-is-metal-013159,Li8 Mn8 Si8 O32,False,14,monoclinic
mb-mp-is-metal-067853,Cd2 I4,False,166,trigonal
mb-mp-is-metal-061721,Sr2 Sn2 O6,False,74,orthorhombic
mb-mp-is-metal-087864,Al16 Te24,False,14,monoclinic
mb-mp-is-metal-058745,Sb8 O12,False,227,cubic
mb-mp-is-metal-100978,Ga2 Cu2 Te4,False,122,tetragonal
mb-mp-is-metal-102759,Tl16 O15 F17,True,8,monoclinic
mb-mp-is-metal-071051,Cd10 I20,False,156,trigonal
mb-mp-is-metal-047820,Sm4 Sb8,True,64,orthorhombic
mb-mp-is-metal-004257,V1 Co1,True,221,cubic
mb-mp-is-metal-068917,Cd7 I14,False,156,trigonal
mb-mp-is-metal-095956,Ce3 In3 Ru2,True,12,monoclinic
mb-mp-is-metal-067972,Cd11 I22,False,156,trigonal
mb-mp-is-metal-092031,Sc2 Zn6,True,194,hexagonal
mb-mp-is-metal-062186,In2 P2,False,186,hexagonal
mb-mp-is-metal-049935,Eu1 As2 Pd2,True,8,monoclinic
mb-mp-is-metal-081666,Li1 F1,False,225,cubic
mb-mp-is-metal-002800,Co2 Mo2 P4,True,194,hexagonal
mb-mp-is-metal-045938,Nd3 Al1 C1,True,221,cubic
mb-mp-is-metal-027772,Na12 Co2 Se8,True,186,hexagonal
mb-mp-is-metal-063410,W8 O24,False,2,triclinic
mb-mp-is-metal-049138,Ba16 O16,False,63,orthorhombic
mb-mp-is-metal-026729,Li1 Ni1 P2 O7,False,5,monoclinic
mb-mp-is-metal-066907,Ba8 V8 Zn4 O32,False,14,monoclinic
mb-mp-is-metal-027093,Li4 Ni6 O12,False,41,orthorhombic
mb-mp-is-metal-029308,V12 Zn6 O24,False,156,trigonal
mb-mp-is-metal-096969,Re8 S16,False,2,triclinic
mb-mp-is-metal-094697,Li8 Zn4 Ge4,True,164,trigonal
mb-mp-is-metal-081700,Yb2 Ir4,True,227,cubic
mb-mp-is-metal-085471,Ba2 Ta1 In1 O6,False,225,cubic
mb-mp-is-metal-099427,Zr8 Co8 Ge14,True,139,tetragonal
mb-mp-is-metal-059640,Mg1 Ti11 O20,True,8,monoclinic
mb-mp-is-metal-088828,Tm8 B16 C8,True,135,tetragonal
mb-mp-is-metal-051892,Sr10 Al4 Si6 O1,True,71,orthorhombic
mb-mp-is-metal-021365,Sc2 Cr2 O8,False,74,orthorhombic
mb-mp-is-metal-053142,Ba1 As2 Pd2,True,123,tetragonal
mb-mp-is-metal-092082,Pm1 Mg1 Au2,True,225,cubic
mb-mp-is-metal-069880,Zn18 S18,False,156,trigonal
mb-mp-is-metal-089269,Na24 Zn8 B40 O80,False,61,orthorhombic
mb-mp-is-metal-051195,Sc1 Zn3,True,225,cubic
mb-mp-is-metal-051977,Nb4 Se8,True,187,hexagonal
mb-mp-is-metal-092369,Li2 Sn1 Ir1,True,216,cubic
mb-mp-is-metal-094295,Nd16 Se24,False,122,tetragonal
mb-mp-is-metal-073434,Cs8 Zn4 Ge12 Se32,False,19,orthorhombic
mb-mp-is-metal-104195,Nb2 Se4,True,194,hexagonal
mb-mp-is-metal-050171,Ca2 Sn1 S4,False,65,orthorhombic
mb-mp-is-metal-028499,Zn18 S18,False,160,trigonal
mb-mp-is-metal-006099,Co6 O6 F6,True,31,orthorhombic
mb-mp-is-metal-095233,Ga1 As1,False,216,cubic
mb-mp-is-metal-099384,Eu1 P2 Os2,True,139,tetragonal
mb-mp-is-metal-062265,Yb2 B2 O6,False,11,monoclinic
mb-mp-is-metal-060484,Sb8 O12,False,14,monoclinic
mb-mp-is-metal-089742,Sm8 S12,False,62,orthorhombic
mb-mp-is-metal-044231,Li4 Mn16 O32,False,14,monoclinic
mb-mp-is-metal-106108,Ca1 Ti4 S8,True,166,trigonal
mb-mp-is-metal-069868,Zn8 S8,False,156,trigonal
mb-mp-is-metal-103406,Na2 Sb2 S4,False,15,monoclinic
mb-mp-is-metal-019742,Y2 O3,False,164,trigonal
mb-mp-is-metal-051843,Sm16 Se24,False,122,tetragonal
mb-mp-is-metal-016356,Mg4 Zn8,True,63,orthorhombic
mb-mp-is-metal-030963,Li2 Fe3 Co1 O8,True,12,monoclinic
mb-mp-is-metal-060172,Ho8 S12,False,62,orthorhombic
mb-mp-is-metal-058981,Cs2 Ni4 F12,True,227,cubic
mb-mp-is-metal-042851,Li2 Mn2 P4 O14,False,1,triclinic
mb-mp-is-metal-067966,Cd10 I20,False,156,trigonal
mb-mp-is-metal-050031,Li12 Mn8 P12 O48,False,18,orthorhombic
mb-mp-is-metal-092893,Ba4 Y2 Re2 O12,True,225,cubic
mb-mp-is-metal-034529,Cu16 H24 Cl8 O24,False,2,triclinic
mb-mp-is-metal-074538,Ba16 Ga8 S32,False,14,monoclinic
mb-mp-is-metal-068861,Cd4 I8,False,164,trigonal
mb-mp-is-metal-105642,Sm2 Si2 Cu2,True,194,hexagonal
mb-mp-is-metal-086413,Sc6 Sn6 Pd6,True,190,hexagonal
mb-mp-is-metal-067981,Cd20 I40,False,156,trigonal
mb-mp-is-metal-099496,La1 Fe4 As12,True,204,cubic
mb-mp-is-metal-036140,V4 O8,False,63,orthorhombic
mb-mp-is-metal-054857,Zn7 S7,False,160,trigonal
mb-mp-is-metal-096154,Zn2 Cu4 Si2 S8,False,7,monoclinic
mb-mp-is-metal-083746,Li4 Ca8 Ge12,True,58,orthorhombic
mb-mp-is-metal-053360,V16 Ir16,True,12,monoclinic
mb-mp-is-metal-091715,Li2 Ga2 Te4,False,122,tetragonal
mb-mp-is-metal-104381,Mg12 Ru8,True,213,cubic
mb-mp-is-metal-039849,Ca12 N8,False,60,orthorhombic
mb-mp-is-metal-054733,Ba2 Te2 Mo4 O18,False,4,monoclinic
mb-mp-is-metal-047323,Bi4 I12,False,14,monoclinic
mb-mp-is-metal-017147,Fe6 O7 F5,False,1,triclinic
mb-mp-is-metal-045501,Bi16 O24,False,14,monoclinic
mb-mp-is-metal-060402,Na8 Te4 Se12,False,14,monoclinic
mb-mp-is-metal-056935,Zn12 S12,False,160,trigonal
mb-mp-is-metal-008951,Li12 Cu12 P12 O48,True,14,monoclinic
mb-mp-is-metal-097844,Cs8 Zr6 S28,False,15,monoclinic
mb-mp-is-metal-022936,Li4 Fe7 O2 F14,False,1,triclinic
mb-mp-is-metal-028705,Ag1 Sb1 S2,False,166,trigonal
mb-mp-is-metal-031734,Nb2 O5,False,12,monoclinic
mb-mp-is-metal-039931,Ce1 Al2 Pt3,True,191,hexagonal
